model,predicted_label,text,clean_text,airline,confidence
Word2Vec + BiLSTM Attention,positive,@AmericanAir thanks!,usertoken thanks,American,0.6676
Word2Vec + BiLSTM Attention,positive,@united that's what I thought! Thanks for the clarification!,usertoken that is what i thought thanks for the clarification,United,0.6806
Word2Vec + BiLSTM Attention,negative,@SouthwestAir no her lunch was over by the time she got her call answered,usertoken no her lunch was over by the time she got her call answered,Southwest,0.6654
Word2Vec + BiLSTM Attention,positive,@united hey I left my favorite blanket on the plane bring it back home to me:-(,usertoken hey i left my favorite blanket on the plane bring it back home to me,United,0.6511
Word2Vec + BiLSTM Attention,positive,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.,usertoken such a bummer but i understand it is a business deal thanks for answering me much less sad now,Delta,1.0
Word2Vec + BiLSTM Attention,positive,@JetBlue you're taking me to New Orleans in two weeks so I'll picture that while I shiver #forevercold,usertoken you are taking me to new orleans in two weeks so i will picture that while i shiver forevercold,Delta,0.6462
Word2Vec + BiLSTM Attention,positive,@JetBlue all up to date. Can't update via Google play.,usertoken all up to date cannot update via google play,Delta,1.0
Word2Vec + BiLSTM Attention,negative,"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",usertoken travel week delays cancelled flightlations if you want to learn more about the merger press numbertoken delay my connector in chicago deice,American,1.0
Word2Vec + BiLSTM Attention,negative,@USAirways I'm shutting my data off for the flight. I want some response by the time I land.  You have 2 hours.,usertoken i am shutting my data off for the flight i want some response by the time i land you have numbertoken hours,US Airways,1.0
Word2Vec + BiLSTM Attention,negative,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(,usertoken do you have any sort of live chat feature we are in the uk right now and that call would cost us alot,American,0.6424
Word2Vec + BiLSTM Attention,negative,@JetBlue real shit my nigga north don't play around!,usertoken real shit my nigga north do not play around,Delta,0.6503
Word2Vec + BiLSTM Attention,positive,Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”,thx stand by usertoken usertoken i know it is frustrating and i do appreciate your patience while we try to get you on your way jh,United,0.6631
Word2Vec + BiLSTM Attention,negative,@SouthwestAir IM NOT THO 😭😭💔💔💔💔💔💔💔,usertoken im not tho,Southwest,1.0
Word2Vec + BiLSTM Attention,positive,"@AmericanAir Thank you, you too!",usertoken thank you you too,American,0.6544
Word2Vec + BiLSTM Attention,negative,@AmericanAir how does one book a ticket online and put it on hold?  Does that require that I pay for the ticket?,usertoken how does one book a ticket online and put it on hold does that require that i pay for the ticket,American,0.6613
Word2Vec + BiLSTM Attention,negative,@united Flight 1547 CMH to ORD just arrived at gate. Next segment to YVR already boarding. Will they hold it?,usertoken flight numbertoken cmh to ord just arrived at gate next segment to yvr already boarding will they hold it,United,1.0
Word2Vec + BiLSTM Attention,positive,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,usertoken can we make every vx plane with nerdbird why should austin be the only one getting nerd love,Virgin America,0.6477
Word2Vec + BiLSTM Attention,negative,@united - Kids left a kindle fire HD 6 onboard UA1037 (ORD-SFO) today. Row 9ABC-DEF (we had the whole row amongst the 5 of us).  Help...,usertoken kids left a kindle fire hd numbertoken onboard ua numbertoken ord sfo today row numbertoken abc def we had the whole row amongst the numbertoken of us help,United,0.6815
Word2Vec + BiLSTM Attention,positive,"@united Alright, thank you. Is there a page that says the routes you have for each aircraft? Specifically the 787.",usertoken alright thank you is there a page that says the routes you have for each aircraft specifically the numbertoken,United,1.0
Word2Vec + BiLSTM Attention,negative,@united this is for a check-in luggage. Employee told me not to include wheels in the dimensions.,usertoken this is for a check in luggage employee told me not to include wheels in the dimensions,United,1.0
Word2Vec + BiLSTM Attention,positive,@united thanks! Will you guys be getting the A380s anytime soon?,usertoken thanks will you guys be getting the a numbertoken s anytime soon,United,1.0
Word2Vec + BiLSTM Attention,positive,"@JetBlue Ok great thanks! I had a great flight, FYI. I'm excited to fly again. I just was frustrated I was not able to check in.",usertoken ok great thanks i had a great flight fyi i am excited to fly again i just was frustrated i was not able to check in,Delta,0.3634
Word2Vec + BiLSTM Attention,positive,@JetBlue I would love to Fort Lauderdale now that would cool.,usertoken i would love to fort lauderdale now that would cool,Delta,0.6735
Word2Vec + BiLSTM Attention,positive,@USAirways really!??,usertoken really,US Airways,1.0
Word2Vec + BiLSTM Attention,positive,"@SouthwestAir I understand. Wonderful ""Miriam"" in customer service who was able to reroute me... Got any rental car discounts?",usertoken i understand wonderful miriam in customer service who was able to reroute me got any rental car discounts,Southwest,0.3474
Word2Vec + BiLSTM Attention,positive,@united please be good to me this weekend!,usertoken please be good to me this weekend,United,1.0
Word2Vec + BiLSTM Attention,negative,@SouthwestAir my flight continues through to Vegas after my stop. Don't be upset if a stowaway.,usertoken my flight continues through to vegas after my stop do not be upset if a stowaway,Southwest,0.3444
Word2Vec + BiLSTM Attention,negative,@SouthwestAir how can customers get in touch with you internationally from Mexico for lost baggage,usertoken how can customers get in touch with you internationally from mexico for lost baggage,Southwest,0.6447
Word2Vec + BiLSTM Attention,positive,@SouthwestAir OMG OMG OMG !!! I JUST DID!!,usertoken omg omg omg i just did,Southwest,1.0
Word2Vec + BiLSTM Attention,negative,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,usertoken they told to check with the airline regulation first so that is why i contacted you,Virgin America,0.6791
Word2Vec + BiLSTM Attention,positive,"@USAirways Yes, it was Sunday.",usertoken yes it was sunday,US Airways,0.6890000000000001
Word2Vec + BiLSTM Attention,negative,@JetBlue probably not anymore.,usertoken probably not anymore,Delta,0.6588
Word2Vec + BiLSTM Attention,negative,@united Currently on standby to Lax then it is a 2 hour ride to Palm Springs. Long day starting at a snowy 3:30 am in philly.,usertoken currently on standby to lax then it is a numbertoken hour ride to palm springs long day starting at a snowy numbertoken numbertoken am in philly,United,1.0
Word2Vec + BiLSTM Attention,negative,@united I need a customer service manager to contact me please,usertoken i need a customer service manager to contact me please,United,0.6204
Word2Vec + BiLSTM Attention,positive,@JetBlue oh. Makes sense. My bad.,usertoken oh makes sense my bad,Delta,0.3363
Word2Vec + BiLSTM Attention,negative,@united it sucks not having the money to book a flight to see the love of my life. 2600 miles away.,usertoken it sucks not having the money to book a flight to see the love of my life numbertoken miles away,United,0.6768
Word2Vec + BiLSTM Attention,positive,"@united Okay, thank you both.",usertoken okay thank you both,United,0.6862
Word2Vec + BiLSTM Attention,positive,@JetBlue so yesterday a flight I wanted to Chicago was on sale within my points range and today it isn't. Any way you guys can still honor,usertoken so yesterday a flight i wanted to chicago was on sale within my points range and today it is not any way you guys can still honor,Delta,0.6472
Word2Vec + BiLSTM Attention,negative,@united I got an email from cust. care for an issue I had offering me a voucher. How do I claim that? I emailed back but got no reply. DM me,usertoken i got an email from cust care for an issue i had offering me a voucher how do i claim that i emailed back but got no reply dm me,United,0.6733
Word2Vec + BiLSTM Attention,negative,"@JetBlue if my flight says delayed with estimated departure listed, can I arrive at airport Late Flightr?",usertoken if my flight says delayed with estimated departure listed can i arrive at airport late flightr,Delta,1.0
